City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
Vostok,RU,82.51,54,52,8.95,46.4856,135.8833
Miraflores,MX,66.87,82,76,3.62,19.2167,-98.8083
Ojinaga,MX,77.95,78,40,3.44,29.5667,-104.4167
Evensk,RU,59.0,83,100,4.99,61.95,159.2333
Mīnāb,IR,89.1,79,59,4.16,27.1467,57.0801
Yerbogachën,RU,71.56,60,100,13.42,61.2767,108.0108
Shenzhen,CN,81.41,90,100,8.3,22.5455,114.0683
Smidovich,RU,81.19,60,20,4.0,48.6,133.8167
Kaili,ID,76.75,65,90,4.14,-3.4626,120.2147
Jiblah,YE,63.61,52,99,6.04,13.9216,44.1467
Jüchen,DE,59.47,89,0,1.01,51.1,6.5
Zhezkazgan,KZ,80.11,34,43,12.24,47.8043,67.7144
Monrovia,LR,75.49,88,100,2.89,6.3005,-10.7969
Abhā,SA,70.05,24,40,4.61,18.2164,42.5053
Tuatapere,NZ,47.82,89,100,3.74,-46.1333,167.6833
Harlingen,US,82.36,90,1,9.22,26.1906,-97.6961
Makat,KZ,85.75,26,50,6.33,47.6469,53.3463
Mandalgovi,MN,77.38,40,7,7.83,45.7625,106.2708
Dakar,SN,79.68,86,65,9.24,14.6937,-17.4441
Kayamkulam,IN,79.16,82,100,10.65,9.1833,76.5
Ilebo,CD,67.71,45,87,1.79,-4.3167,20.5833
Lake City,US,78.51,78,75,0.0,30.1897,-82.6393
Elizabeth City,US,82.04,81,1,3.0,36.2946,-76.2511
Samfya,ZM,52.72,65,12,8.25,-11.3649,29.5565
Prince Rupert,CA,61.66,64,90,5.75,54.3161,-130.3201
Eilat,IL,87.64,25,0,13.8,29.5581,34.9482
Beloha,MG,63.27,77,14,6.8,-25.1667,45.05
Warwick,US,71.04,95,90,5.75,41.7001,-71.4162
Alta Floresta,BR,79.21,38,95,3.31,-9.8756,-56.0861
Bafoulabé,ML,79.34,75,100,4.92,13.8065,-10.8321
Westport,US,76.59,91,75,1.99,41.1415,-73.3579
Fare,PF,79.03,75,100,24.79,-16.7,-151.0167
Fort Nelson,CA,49.59,93,90,3.44,58.8053,-122.7002
Novopskov,UA,73.44,71,64,3.42,49.5464,39.0899
Nhulunbuy,AU,83.01,57,100,18.41,-12.2333,136.7667
Juegang,CN,83.39,71,9,10.96,32.3174,121.1855
Malpe,IN,76.3,88,100,11.99,13.35,74.7167
Caravelas,BR,68.68,87,0,6.71,-17.7125,-39.2481
Kaoma,ZM,49.37,80,15,5.84,-14.7833,24.8
Zlobin,HR,66.9,67,75,10.36,45.2924,14.6541
Agadir,MA,66.65,49,33,2.01,30.4202,-9.5982
Le Port,RE,69.62,68,0,4.7,-20.9373,55.2919
Midland,US,85.5,51,1,8.05,31.9974,-102.0779
Kualakapuas,ID,84.36,57,98,1.34,-3.0091,114.3876
Medicine Hat,CA,83.71,29,1,1.01,50.0501,-110.6683
Areia Branca,BR,77.83,75,89,14.0,-4.9561,-37.1369
Khuzdar,PK,82.96,61,17,6.8,27.7384,66.6434
Ballina,AU,64.74,39,0,11.5,-28.8667,153.5667
Fort Myers Beach,US,77.16,96,1,0.0,26.452,-81.9481
Ilulissat,GL,50.02,66,20,1.14,69.2167,-51.1
Jiwani,PK,83.25,77,100,9.82,25.05,61.7417
Samarai,PG,80.37,78,88,14.67,-10.6167,150.6667
El Alto,PE,65.32,81,100,14.7,-4.2714,-81.2147
Tarakan,ID,85.5,74,20,6.91,3.3,117.6333
Nueva Loja,EC,70.79,98,95,1.66,0.0847,-76.8828
Yamada,JP,83.77,65,100,5.21,39.4667,141.95
Whitecourt,CA,58.24,88,75,5.75,54.1502,-115.6855
Williams Lake,CA,67.23,42,75,9.22,52.1415,-122.1445
Puerto Colombia,CO,82.49,78,15,23.42,10.9878,-74.9547
Río Cuarto,AR,28.98,35,0,11.14,-33.1307,-64.3499
Khasan,RU,78.62,80,93,10.54,42.4308,130.6434
Izumo,JP,89.49,62,75,8.05,35.3667,132.7667
Senno,RU,58.55,63,0,3.2,59.5336,33.9167
Kieta,PG,86.94,64,99,8.77,-6.2167,155.6333
Almoloya,MX,49.37,91,60,4.68,19.7,-98.4
Danielskuil,ZA,38.95,48,0,5.01,-28.1887,23.5395
Zabul Province,AF,82.78,32,7,13.85,32.25,67.25
Gladstone,AU,67.93,32,3,9.22,-23.85,151.25
Lamar,US,80.51,77,1,4.61,33.6668,-95.5836
Sola,VU,80.35,71,8,17.56,-13.8833,167.55
Río Gallegos,AR,39.25,65,0,19.57,-51.6226,-69.2181
Camp Verde,US,84.83,78,52,4.0,34.5636,-111.8543
Vila Franca do Campo,PT,63.01,76,2,3.06,37.7167,-25.4333
Rincon,US,79.5,86,75,6.91,32.296,-81.2354
Sisimiut,GL,49.64,81,12,4.12,66.9395,-53.6735
Ekibastuz,KZ,66.78,65,100,11.88,51.6667,75.3667
Yumen,CN,82.24,22,43,14.54,40.2833,97.2
Port Augusta,AU,54.72,50,100,3.27,-32.5,137.7667
Tambovka,RU,64.51,54,100,8.12,50.0969,128.0489
Auki,SB,85.96,68,95,5.66,-8.7676,160.7034
Kishtwār,IN,75.07,80,68,1.68,33.3167,75.7667
Temba,ZA,44.76,38,0,8.23,-25.3803,28.2631
Anadyr,RU,68.5,56,0,15.66,64.75,177.4833
Valle de Allende,MX,74.57,50,11,13.51,26.9333,-105.4
Saint-Pierre,RE,66.56,68,20,5.75,-21.3393,55.4781
Torquay,GB,61.09,1,0,3.91,50.4638,-3.5143
Burnie,AU,54.54,64,38,10.22,-41.0667,145.9167
Manggar,ID,84.42,70,20,10.29,-2.8833,108.2667
Yining,CN,83.43,82,74,2.37,29.0361,114.5636
Zhalantun,CN,75.13,93,100,6.11,48.0,122.7167
Bystryy Istok,RU,71.22,51,100,2.93,52.371,84.3873
Fereydūnkenār,IR,77.31,78,3,2.73,36.6864,52.5225
Bossangoa,CF,67.75,99,99,3.33,6.4926,17.4552
Jahāzpur,IN,85.39,69,100,2.3,25.6167,75.2833
Vilyuysk,RU,70.27,40,38,4.65,63.7553,121.6247
Eureka,US,58.28,83,61,3.0,40.8021,-124.1637
Elko,US,91.42,23,49,8.63,41.0002,-115.5012
Alyangula,AU,82.27,47,55,9.22,-13.8483,136.4192
Birao,CF,71.4,95,100,3.96,10.2849,22.7882
Puerto Cabezas,NI,79.03,90,99,8.28,14.0351,-83.3888
Tartous,SY,76.5,78,0,2.48,34.889,35.8866
Caconda,AO,53.08,47,4,3.69,-13.7333,15.0667
Maïné Soroa,NE,75.65,69,100,3.42,13.2114,12.0241
College,US,76.12,44,75,9.22,64.8569,-147.8028
Puerto Escondido,MX,80.46,80,80,4.54,15.85,-97.0667
Pittsburg,US,74.05,37,1,5.01,38.028,-121.8847
