City,Country,Temperature,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
Terme,TR,76.93,76.93,90,1,8.01,41.2092,36.9739
Klaksvík,FO,52.72,52.72,89,0,13.27,62.2266,-6.589
Marrakesh,MA,87.87,87.87,33,40,5.75,31.6315,-8.0083
Perehonivka,UA,64.56,64.56,76,100,13.91,48.5355,30.5192
Pyu,MM,75.29,75.29,98,100,8.43,18.4833,96.4333
Steinkjer,NO,50.52,50.52,90,88,12.26,64.193,11.3851
Aden,YE,84.74,84.74,65,9,21.88,12.7794,45.0367
Tura,IN,75.49,75.49,95,100,2.33,25.5198,90.2201
Acolla,PE,53.53,53.53,46,4,9.04,-11.7319,-75.5463
Kiunga,PG,73.56,73.56,99,100,1.63,-6.1219,141.2906
Akot,IN,76.5,76.5,94,100,8.03,21.0964,77.0586
Baykit,RU,54.63,54.63,92,71,2.26,61.67,96.37
Beyneu,KZ,92.95,92.95,21,83,15.28,45.3167,55.2
Vardø,NO,46.6,46.6,90,100,23.11,70.3705,31.1107
Tabou,CI,76.28,76.28,82,23,6.42,4.423,-7.3528
Boralday,KZ,71.46,71.46,53,90,2.24,43.3578,76.8594
Owando,CG,77.34,77.34,44,77,2.59,-0.4819,15.8999
Mpanda,TZ,65.3,65.3,43,5,0.69,-6.3655,31.0409
Ambovombe,MG,68.47,68.47,76,0,6.6,-25.1667,46.0833
Nanchang,CN,76.51,76.51,82,33,6.13,28.6833,115.8833
Baruun-Urt,MN,73.87,73.87,59,100,7.72,46.6806,113.2792
Kashgar,CN,61.81,61.81,100,100,2.24,39.4547,75.9797
Qaqortoq,GL,50.5,50.5,99,100,2.08,60.7167,-46.0333
Mbanza-Ngungu,CD,72.57,72.57,43,2,5.12,-5.25,14.8667
Çermik,TR,88.29,88.29,35,0,2.51,38.1361,39.4493
Batemans Bay,AU,38.91,39.9,70,11,4.34,-35.7167,150.1833
Starodub,RU,62.47,62.47,71,60,9.57,52.5844,32.7633
Rodolfo Sánchez Taboada,MX,79.11,79.11,72,74,4.0,31.7167,-116.5667
Zhengjiatun,CN,75.83,75.83,82,0,9.69,43.5064,123.5064
Ballina,AU,48.78,48.78,65,7,10.16,-28.8667,153.5667
Tobermory,CA,74.3,74.3,61,0,12.91,45.2501,-81.6665
Touros,BR,76.1,76.1,80,7,15.39,-5.1989,-35.4608
Kavaratti,IN,82.02,82.02,82,100,22.06,10.5669,72.642
Fortaleza,BR,80.73,80.73,78,0,10.36,-3.7227,-38.5247
Sangar,RU,61.95,61.95,77,93,4.09,63.9242,127.4739
Ketchikan,US,55.87,55.87,94,90,3.44,55.3422,-131.6461
Yeniseysk,RU,53.51,53.51,98,30,1.25,58.4497,92.1703
Øksfjord,NO,48.88,50.07,94,95,7.87,70.2396,22.3479
Cedartown,US,82.08,88.43,85,99,3.15,34.0537,-85.255
Vila Franca do Campo,PT,68.41,68.41,79,28,7.9,37.7167,-25.4333
Magadan,RU,52.25,52.25,95,100,5.17,59.5667,150.8
Atbasar,KZ,65.39,65.39,55,4,4.83,51.8,68.3333
Henties Bay,NA,53.85,53.85,83,0,10.25,-22.116,14.2845
Varel,DE,56.71,62.49,90,3,5.12,53.3969,8.1362
Mossamedes,AO,64.72,64.72,82,0,2.42,-15.1961,12.1522
Waipawa,NZ,50.86,54.23,83,100,9.48,-41.4122,175.5153
Vila,PT,59.4,66.74,87,15,1.16,42.0304,-8.1588
Rhyl,GB,67.21,72.5,78,5,2.35,53.3196,-3.4886
Fürstenfeld,AT,63.05,67.05,68,1,3.0,47.05,16.0833
Mapiri,BO,71.29,71.29,73,47,2.42,-15.25,-68.1667
Krasnyy Yar,RU,78.73,78.73,39,89,9.06,46.5331,48.3456
Lovozero,RU,41.47,41.47,90,98,4.59,68.005,35.0117
Pacific Grove,US,63.55,92.16,76,1,5.01,36.6177,-121.9166
Riyadh,SA,100.54,100.54,30,79,10.47,24.6877,46.7219
Oddur,SO,72.39,72.39,75,52,16.64,4.1213,43.8894
Mount Isa,AU,49.77,49.77,66,59,0.0,-20.7333,139.5
San Cristobal,VE,73.58,73.58,88,94,4.83,7.7669,-72.225
Fukuechō,JP,79.48,79.48,79,100,11.52,32.6881,128.8419
Bwanga,TZ,67.82,67.82,41,2,4.07,-3.0308,31.7601
Alto Araguaia,BR,71.58,71.58,26,3,3.06,-17.3147,-53.2153
Kunduz,AF,83.98,83.98,18,12,5.35,36.729,68.857
Traverse City,US,73.8,76.84,41,40,6.91,44.7631,-85.6206
Inhambane,MZ,69.76,69.76,66,36,9.06,-23.865,35.3833
Vila Velha,BR,67.95,67.95,83,75,2.3,-20.3297,-40.2925
Bandarbeyla,SO,77.56,77.56,81,48,25.23,9.4942,50.8122
Kerema,PG,77.72,77.72,89,93,2.42,-7.9631,145.7785
Mpongwe,ZM,57.2,57.2,50,0,5.48,-13.5091,28.155
Papara,BR,79.2,79.2,83,2,4.34,-3.9839,-38.7273
Mahon,ES,75.76,75.76,88,0,5.75,39.8885,4.2658
Gusau,NG,76.37,76.37,80,60,9.69,12.1628,6.6614
Otane,NZ,59.02,59.02,91,100,1.21,-39.8833,176.6333
Indramayu,ID,77.07,77.07,87,94,5.53,-6.3264,108.32
Astoria,US,65.77,71.87,60,1,3.0,46.1879,-123.8313
Orbetello,IT,74.91,76.62,43,33,4.61,42.4408,11.2196
Stryn,NO,51.96,57.15,81,2,4.43,61.9045,6.7226
Gilgit,PK,72.97,72.97,64,99,1.5,35.9221,74.3087
Dryden,CA,66.49,66.49,55,90,9.22,49.7833,-92.7503
Guadalupe Victoria,MX,113.7,113.95,22,100,15.28,32.2869,-115.105
Leshukonskoye,RU,45.28,45.28,76,57,5.06,64.8989,45.7622
Owensboro,US,85.3,87.19,61,20,6.91,37.7742,-87.1133
Serenje,ZM,54.61,54.61,53,0,4.74,-13.2325,30.2352
Cam Ranh,VN,84.16,84.16,58,20,3.44,11.9214,109.1591
Ubari,LY,86.32,86.32,19,0,8.03,26.5921,12.7805
Harihar,IN,71.24,71.24,89,100,18.25,14.5167,75.8
Cidreira,BR,54.91,54.91,64,0,3.6,-30.1811,-50.2056
Mitsamiouli,KM,76.3,76.3,76,2,2.64,-11.3847,43.2844
Sherlovaya Gora,RU,68.07,68.07,83,39,6.2,50.5667,116.25
Port Shepstone,ZA,54.81,54.81,67,0,6.89,-30.7414,30.455
Vlasikha,RU,61.65,61.65,72,0,4.47,53.2972,83.5742
Bertoua,CM,69.75,69.75,88,93,2.68,4.5833,13.6833
Inuvik,CA,85.87,86.76,47,20,6.91,68.3499,-133.7218
Provideniya,RU,44.71,44.71,76,90,11.18,64.3833,-173.3
Novichikha,RU,58.98,58.98,84,0,8.34,52.204,81.3877
Praia,CV,81.14,81.14,78,0,3.44,14.9215,-23.5087
Orlik,RU,53.78,53.78,83,1,1.63,52.5178,99.825
Mahajanga,MG,71.62,71.62,60,0,8.05,-15.7167,46.3167
Ilulissat,GL,48.22,48.22,66,43,3.44,69.2167,-51.1
Kysyl-Syr,RU,64.87,64.87,68,66,1.97,63.8986,122.7617
Touba,CI,69.98,69.98,95,58,4.29,8.2833,-7.6833
Nemenčinė,LT,57.34,57.72,77,0,5.46,54.85,25.4833
Barrancas,CO,88.79,88.79,51,18,11.32,10.9576,-72.7877
Salalah,OM,78.89,78.89,94,90,4.61,17.0151,54.0924
Paraíso,CR,71.87,76.15,73,100,4.18,9.8383,-83.8656
Korla,CN,81.57,81.57,24,84,9.24,41.7597,86.1469
Pitimbu,BR,73.99,73.99,84,18,14.43,-7.4706,-34.8086
Goleniów,PL,58.44,60.31,94,0,2.3,53.5639,14.8285
Zyryanka,RU,56.08,56.08,93,100,10.8,65.75,150.85
Waddān,LY,80.8,80.8,50,0,14.12,29.1614,16.139
Erenhot,CN,77.54,77.54,53,48,11.68,43.6475,111.9767
Koindu,GN,69.55,69.55,99,98,3.62,8.4386,-10.3253
Enumclaw,US,68.88,71.8,57,76,1.99,47.2043,-121.9915
Besançon,FR,59.45,67.37,100,0,2.62,47.2488,6.0182
Aswān,EG,97.9,97.9,14,0,13.8,24.0934,32.907
Jinxiang,CN,78.17,78.17,76,91,11.97,27.4327,120.6062
Arsikere,IN,69.84,69.84,83,100,15.39,13.3139,76.2561
Lindsay,US,100.36,103.78,20,1,10.36,36.203,-119.0882
Oruzgan,AF,72.01,72.01,22,34,7.81,32.8333,66.0
Maningrida,AU,59.81,59.81,85,38,7.05,-12.0667,134.2667
Neryungri,RU,57.52,57.52,91,87,0.85,56.6709,124.6491
Nishihara,JP,79.88,80.26,94,75,29.93,26.1842,127.7558
Norrtälje,SE,59.45,63.84,70,49,6.44,59.758,18.705
Baturité,BR,74.46,74.46,68,6,5.06,-4.3286,-38.8847
Purpe,RU,66.15,66.15,68,100,23.35,64.4803,76.6897
Palana,RU,55.26,55.26,69,100,20.65,59.1167,159.9667
Ixtapa,MX,86.23,86.23,80,99,4.0,20.7,-105.2
Acapulco de Juárez,MX,87.69,87.69,69,38,6.82,16.8634,-99.8901
Pedasí,PA,83.75,83.75,72,99,6.85,7.5333,-80.0333
Mago,RU,74.19,74.19,83,100,2.86,53.2514,140.1822
Ust-Kuyga,RU,51.66,51.66,76,90,5.41,70.0167,135.6
Haines Junction,CA,71.55,71.55,43,97,8.05,60.7522,-137.5108
Hasaki,JP,78.73,79.2,80,4,3.67,35.7333,140.8333
Scarborough,GB,59.52,65.84,87,6,8.99,54.2797,-0.4044
Ashquelon,IL,79.16,80.49,70,0,7.4,31.6693,34.5715
Cairns,AU,61.83,67.06,84,52,1.14,-16.9167,145.7667
Belyy Yar,RU,57.09,57.09,94,0,0.0,53.6039,91.3903
San Cosme y Damián,PY,68.18,68.18,61,0,4.88,-27.3167,-56.35
Tatarsk,RU,63.82,63.82,67,90,5.61,55.219,75.9828
Baraguá,CU,89.69,89.69,60,3,6.06,21.6967,-78.6328
Bana,CM,61.25,61.25,100,100,1.99,5.1481,10.2762
Gucheng,CN,72.86,72.86,93,99,4.27,35.9115,111.3192
Guerrero Negro,MX,77.14,77.14,65,100,18.84,27.9769,-114.0611
Paso de los Toros,UY,52.14,52.14,67,3,5.61,-32.8167,-56.5167
Hay River,CA,76.98,76.98,50,75,6.91,60.8156,-115.7999
Cabedelo,BR,74.07,74.07,83,10,14.94,-6.9811,-34.8339
Visakhapatnam,IN,76.89,76.89,100,90,5.75,17.69,83.2093
Āmol,IR,81.18,81.18,55,4,5.73,36.4696,52.3507
Zhigansk,RU,59.88,59.88,59,60,4.72,66.7697,123.3711
Nueve de Julio,AR,57.7,57.7,53,95,8.7,-35.4444,-60.8831
Tiarei,PF,82.42,82.42,77,30,16.04,-17.5333,-149.3333
Laas,IT,68.27,70.68,84,81,1.66,46.6166,10.7002
Porto Nacional,BR,84.2,84.2,28,37,4.23,-10.7081,-48.4172
Dannenberg,DE,57.63,57.69,92,8,4.94,53.0967,11.09
Mporokoso,ZM,58.8,58.8,40,1,4.68,-9.3727,30.125
Alto Longá,BR,85.3,85.3,29,10,5.44,-5.2511,-42.2103
Bakchar,RU,62.82,62.82,75,57,2.01,57.0186,82.0711
Kieta,PG,81.43,81.43,82,99,6.15,-6.2167,155.6333
Brae,GB,53.51,53.51,94,41,11.36,60.3964,-1.353
Yatou,CN,75.31,75.31,84,68,3.22,37.15,122.3833
Te Anau,NZ,41.92,41.92,92,83,1.5,-45.4167,167.7167
Quelimane,MZ,73.35,73.35,94,75,3.44,-17.8786,36.8883
Leh,IN,55.69,55.69,68,14,5.03,34.1667,77.5833
Destin,US,86.38,90.05,76,1,8.05,30.3935,-86.4958
São Filipe,CV,76.77,76.77,85,100,4.74,14.8961,-24.4956
Shingū,JP,78.91,78.91,83,100,6.76,33.7333,135.9833
El Campo,US,85.95,88.79,58,1,0.0,29.1966,-96.2697
Ishigaki,JP,82.53,82.53,89,75,21.85,24.3448,124.1572
Sinnamary,GF,80.53,80.53,82,25,10.22,5.3833,-52.95
Karachi,PK,84.02,84.02,84,75,11.5,24.9056,67.0822
Hirara,JP,84.47,84.47,89,75,33.38,24.8,125.2833
Bambuí,BR,67.05,67.05,47,28,3.09,-20.0064,-45.9769
Keti Bandar,PK,83.21,83.21,85,69,21.74,24.1447,67.4497
Balkanabat,TM,92.25,92.25,24,87,6.8,39.5108,54.3671
Mill Valley,US,70.2,93.11,76,30,5.01,37.906,-122.545
Raudeberg,NO,53.04,55.2,82,63,11.99,61.9875,5.1352
Rovaniemi,FI,51.21,51.21,87,0,5.75,66.5,25.7167
Cap Malheureux,MU,66.47,68.49,79,65,5.99,-19.9842,57.6142
Weiser,US,95.95,97.0,24,2,8.12,44.251,-116.9693
Bone,DE,62.96,65.62,78,16,2.71,51.9669,12.1396
Fortuna,US,66.24,82.18,65,1,7.0,40.5982,-124.1573
Buin,CL,62.33,68.74,44,100,2.84,-33.7333,-70.75
Mosetse,BW,56.93,56.93,28,0,6.31,-20.75,26.65
Narrabri,AU,37.53,37.53,90,33,3.0,-30.3167,149.7833
Colares,PT,63.48,65.28,78,4,7.0,38.7992,-9.4469
Sola,VU,83.07,83.07,84,75,0.0,-13.8833,167.55
Warrnambool,AU,43.81,43.81,88,100,10.29,-38.3833,142.4833
Liverpool,GB,69.21,73.69,79,20,6.91,53.4106,-2.9779
Alice Springs,AU,62.15,62.15,39,84,19.57,-23.7,133.8833
Rio Grande,BR,44.94,44.94,64,0,4.5,-32.035,-52.0986
Thunder Bay,CA,70.63,75.99,38,75,9.22,48.4001,-89.3168
Marsh Harbour,BS,84.38,84.38,72,95,5.03,26.5412,-77.0636
Agapovka,RU,67.21,67.21,82,16,5.14,53.2973,59.1348
Sept-Îles,CA,65.48,66.72,62,90,1.01,50.2001,-66.3821
San Jose,US,80.87,96.1,48,1,12.66,37.3394,-121.895
Chake Chake,TZ,74.19,74.19,84,16,8.59,-5.2459,39.7666
Māndal,IN,81.18,81.18,72,99,11.92,25.45,74.5667
Moyale,KE,69.44,69.44,55,75,2.82,3.5167,39.0584
Kisangani,CD,75.0,75.0,60,71,0.96,0.5167,25.2
Bariloche,AR,49.75,49.75,46,0,12.66,-41.1456,-71.3082
Aripuanã,BR,82.45,82.45,41,0,2.48,-9.1667,-60.6333
Codrington,AU,40.98,40.98,91,100,9.89,-38.2667,141.9667
Kalabo,ZM,56.66,56.66,34,0,6.38,-14.97,22.6814
